14,0,1362
14,1,105035
14,2,1377
14,3,1337
14,4,1370
14,5,1369
14,6,-1
14,7,-1
71,0,-1
71,1,-1
71,2,-1
71,3,-1
71,4,-1
71,5,-1
71,6,-1
71,7,-1
71,8,-1
71,9,-1
71,10,-1
71,11,-1
71,12,-1
71,13,-1
71,14,-1
71,15,-1
71,16,-1
71,17,-1
84,0,1362
84,1,1337
105,0,-1
105,1,-1
105,2,-1
105,3,-1
105,4,-1
105,5,-1
105,6,-1
105,7,-1
105,8,-1
105,9,-1
105,10,-1
105,11,-1
105,12,-1
105,13,-1
105,14,-1
105,15,-1
121,0,241
185,0,236
185,1,1896
287,0,191
287,1,780
303,0,191
303,1,254
303,2,111821
303,3,256
303,4,209
307,0,2007
307,1,100081
329,0,229
329,1,231
329,2,674
329,3,232
329,4,673
329,5,100081
329,6,1750
329,7,2007
335,0,1788
335,1,820
353,0,1788
353,1,819
353,2,1516
353,3,1446
353,4,271
353,5,1447
360,0,5
360,1,9
570,0,9
570,1,1961
764,0,10
764,1,11
764,2,1
764,3,18
764,4,13
764,5,5
764,6,7
764,7,9
764,8,144
804,0,66
804,1,70
922,0,70
922,1,73
922,2,65
922,3,66
922,4,59
922,5,74
922,6,1819
922,7,1809
922,8,111271
929,0,22
929,1,21
984,0,22
984,1,21
984,2,34
984,3,23
984,4,32
984,5,36
984,6,485
984,7,175
984,8,38
996,0,563
996,1,834
1022,0,306
1022,1,563
1022,2,445
1022,3,423
1022,4,305
1022,5,838
1022,6,837
1029,0,48
1029,1,45
1083,0,45
1083,1,47
1083,2,55
1083,3,46
1083,4,48
1083,5,44
1083,6,52
1083,7,50
1083,8,189
1090,0,247
1090,1,100634
1115,0,245
1115,1,246
1115,2,247
1115,3,1906
1115,4,1913
1115,5,1908
1115,6,1909
1115,7,1910
1119,0,1755
1119,1,919
1141,0,417
1141,1,418
1141,2,298
1141,3,919
1141,4,1456
1145,0,1871
1145,1,874
1167,0,111092
1167,1,874
1167,2,1871
1167,3,873
1167,4,111083
1171,0,1901
1171,1,237
1193,0,236
1193,1,234
1193,2,1896
1193,3,237
1193,4,1893
1193,5,1887
1193,6,1891
1193,7,111540
1197,0,110227
1197,1,312
1219,0,100769
1219,1,315
1219,2,312
1219,3,100767
1219,4,100765
1219,5,110089
1219,6,110227
1219,7,100766
1223,0,80
1223,1,81
1251,0,78
1251,1,83
1251,2,100804
1251,3,181
1251,4,80
1251,5,82
1261,0,241
1261,1,448
1314,0,243
1314,1,241
1314,2,461
1314,3,573
1314,4,240
1314,5,1853
1314,6,479
1314,7,453
1314,8,481
1329,0,432
1329,1,1439
1351,0,432
1351,1,433
1351,2,700
1351,3,320
1351,4,111594
1351,5,711
1355,0,896
1355,1,897
1371,0,896
1371,1,897
1371,2,900
1371,3,324
1371,4,1715
1371,5,894
1371,6,1862
1375,0,1386
1465,0,-1
1465,1,-1
1465,2,-1
1468,0,974
1503,0,605
1503,1,607
1523,0,111674
1523,1,112387
1523,2,605
1523,3,607
1523,4,112390
1523,5,112139
1523,6,112389
1523,7,112395
1542,0,-1
1542,1,-1
1542,2,-1
1542,3,-1
1542,4,-1
1545,0,1377
1545,1,1370
1606,0,111112
