[PLAYER_REPLACEMENT]
209084,138949 
209090,152922
209103,190523
209108,207768
209099,182579
209097,179752
209111,209005
209086,140222
209089,149978
209104,190536
209106,193887
209114,209008
209112,209006
209096,179681
209088,142783
209109,209003
209083,121193
209087,140256
209101,186518
209131,186610
209119,162123
209118,156776
209122,174596
209120,170771
209127,179955
209152,209075
209141,196873
209117,153189
209146,196883
209153,209076
209142,196874
209123,175447
209139,195721
209115,49896
209149,202559
209143,196876
209151,209073
209124,175458
209134,191053
209150,209072
209137,193359
209136,192671
209132,189250
209128,182896
209125,175459
209144,196879
209121,172613
209148,198317
209145,196881
209135,192343
