Date,Local Time,Home ID,Away ID
20120310,1500,694,687
20120310,1600,101112,111139
20120310,1630,688,696
20120310,1930,111928,691
20120310,1930,697,111065
20120311,1200,695,689
20120311,1600,111070,698
20120312,1900,111140,112134
20120317,1100,111139,693
20120317,1400,111928,698
20120317,1730,695,111140
20120317,1730,696,691
20120317,1900,111065,689
20120317,1900,111144,111651
20120317,1930,111070,101112
20120318,1300,112134,694
20120318,1600,697,688
20120323,1900,111144,698
20120324,1000,111651,111928
20120324,1300,691,111140
20120324,1300,687,111139
20120324,1730,693,112134
20120324,1800,111065,111070
20120324,1900,101112,688
20120325,1300,689,694
20120325,1600,696,695
20120330,1630,688,695
20120331,1100,111651,687
20120331,1300,112134,101112
20120331,1300,689,111139
20120331,1900,111144,111928
20120331,1200,111140,111065
20120331,2000,697,691
20120401,1600,694,693
20120401,1800,111070,696
20120404,1800,111065,111139
20120405,1730,695,691
20120407,1200,111139,111651
20120407,1200,687,689
20120407,1300,696,697
20120407,1600,111928,101112
20120407,1630,688,111144
20120407,1800,111065,694
20120407,1930,111140,111070
20120414,1230,112134,687
20120414,1300,691,688
20120414,1300,111144,694
20120414,1330,111651,111070
20120414,1600,689,111928
20120414,1730,695,111139
20120414,1730,696,111065
20120414,1930,697,111140
20120415,1600,693,698
20120418,1630,688,111139
20120418,1900,101112,696
20120421,1230,111651,693
20120421,1630,687,698
20120421,1800,694,697
20120421,1900,101112,695
20120421,1930,111140,696
20120421,1930,111070,112134
20120421,1930,111928,111065
20120422,1800,688,689
20120425,1730,695,111065
20120428,1100,111139,111140
20120428,1230,689,691
20120428,1600,112134,111928
20120428,1630,688,698
20120428,1630,687,101112
20120428,1730,693,111144
20120428,1800,111065,111651
20120428,1800,694,111070
20120428,1930,697,695
20120502,1700,691,694
20120502,1900,111144,697
20120502,1930,111928,688
20120504,2000,111070,693
20120505,1300,111144,112134
20120505,1330,111651,688
20120505,1600,101112,111928
20120505,1700,111065,691
20120505,1700,697,689
20120505,1730,696,111139
20120505,1930,111140,687
20120506,1600,695,694
20120509,1600,689,698
20120509,1730,693,111065
20120509,1730,695,111144
