Date,Local Time,Home ID,Away ID
20120825,2045,39,46
20120825,1800,192,189
20120826,1530,110374,55
20120826,1800,110556,1842
20120826,1800,45,50
20120826,2045,47,1837
20120826,1800,1843,48
20120826,1800,200,44
20120826,1800,52,110364
20120826,1800,1838,54
20120901,2045,189,47
20120901,1800,1842,39
20120902,1530,110364,110556
20120902,2045,44,52
20120902,1800,46,1843
20120902,1800,48,110374
20120902,1800,50,192
20120902,1800,1837,1838
20120902,1800,54,200
20120902,1800,55,45
20120915,2045,192,46
20120915,1800,110374,110364
20120916,2045,110556,45
20120916,1800,47,39
20120916,1800,48,50
20120916,1800,1843,1842
20120916,1530,200,1837
20120916,1800,52,189
20120916,1800,1838,55
20120916,1800,54,44
20120922,2045,39,1843
20120922,1800,189,200
20120923,1530,1842,52
20120923,1800,110364,48
20120923,1800,44,1838
20120923,1800,45,192
20120923,1800,46,110556
20120923,1800,50,110374
20120923,1800,1837,54
20120923,2045,55,47
20120926,2045,110364,39
20120926,1800,192,44
20120926,1800,110374,45
20120926,1530,110556,50
20120926,1800,47,1842
20120926,2045,48,46
20120926,1800,200,1843
20120926,1800,52,1837
20120926,1800,1838,189
20120927,1800,54,55
20120929,1800,39,54
20120930,2045,189,110364
20120930,1800,1842,200
20120930,1800,44,110374
20120930,2045,45,52
20120930,1800,46,1838
20120930,1800,1843,192
20120929,1800,50,47
20120930,1530,1837,48
20120930,1800,55,110556
20121006,1800,110364,50
20121006,2045,192,1837
20121007,1800,110374,189
20121007,1530,110556,1843
20121007,2045,47,44
20121007,1800,48,55
20121007,1800,200,46
20121007,1800,52,39
20121007,1800,1838,45
20121007,1800,54,1842
20121020,1800,39,1838
20121021,2045,1842,189
20121021,1800,192,110374
20121021,1530,110556,52
20121021,1800,44,110364
20121021,2045,45,48
20121020,1800,46,47
20121021,1800,1843,54
20121021,1800,50,1837
20121021,1800,55,200
20121027,1800,189,44
20121027,2045,200,39
20121028,1530,110364,45
20121028,1800,110374,46
20121028,1800,47,110556
20121028,1800,48,192
20121028,2045,52,55
20121028,1800,1837,1842
20121028,1800,1838,1843
20121028,1800,54,50
20121031,1800,39,48
20121031,2045,1842,1838
20121031,1800,192,200
20121031,1530,110556,110374
20121031,1800,44,1837
20121031,1800,45,189
20121031,1800,46,54
20121031,2045,1843,47
20121031,1800,50,52
20121031,1800,55,110364
20121103,1800,189,55
20121103,2045,110364,46
20121104,1800,110374,1842
20121104,2045,45,44
20121104,1800,47,192
20121104,1800,48,54
20121104,1530,200,50
20121104,1800,52,1843
20121104,1800,1837,39
20121104,1800,1838,110556
20121110,1800,1842,110364
20121110,2045,200,45
20121111,1800,39,44
20121111,1530,192,55
20121111,1800,110556,48
20121111,2045,46,52
20121111,1800,47,110374
20121111,1800,1843,1837
20121111,1800,50,1838
20121111,1800,54,189
20121117,1800,189,1843
20121117,2045,45,46
20121118,1800,110374,39
20121118,1530,44,1842
20121118,1800,110364,192
20121118,2045,48,47
20121118,1800,52,54
20121118,1800,1837,110556
20121118,1800,1838,200
20121118,1800,55,50
20121124,1800,39,110556
20121124,2045,1842,48
20121125,1800,192,1838
20121125,1800,46,55
20121125,2045,47,45
20121125,1800,1843,110364
20121125,1800,50,44
20121125,1800,200,52
20121125,1530,1837,189
20121125,1800,54,110374
20121201,1800,189,39
20121201,2045,110364,47
20121202,1800,110374,1837
20121202,1530,110556,192
20121202,1800,44,1843
20121202,2045,45,54
20121202,1800,46,50
20121202,1800,48,200
20121202,1800,1838,52
20121202,1800,55,1842
20121208,1800,39,50
20121208,2045,189,46
20121209,1800,1842,192
20121209,2045,44,48
20121209,1800,1843,45
20121209,1530,200,110556
20121209,1800,52,110374
20121209,1800,1837,55
20121209,1800,1838,110364
20121209,1800,54,47
20121215,1800,110364,1837
20121215,2045,192,52
20121216,1800,110374,1838
20121216,1530,110556,54
20121216,1800,45,39
20121216,2045,46,44
20121216,1800,47,200
20121216,1800,48,189
20121216,1800,50,1842
20121216,1800,55,1843
20121222,1800,39,55
20121222,2045,189,50
20121222,1800,1842,45
20121222,1530,44,110556
20121222,1800,1843,110374
20121222,1800,200,110364
20121222,2045,52,47
20121222,1800,1837,46
20121222,1800,1838,48
20121222,1800,54,192
20130105,1800,110364,54
20130105,2045,192,39
20130106,1800,110374,200
20130106,1530,110556,189
20130106,1800,45,1837
20130106,1800,46,1842
20130106,1800,47,1838
20130106,2045,48,52
20130106,1800,50,1843
20130106,1800,55,44
20120112,1800,46,39
20120112,2045,189,192
20130113,1800,55,110374
20130113,1530,1842,110556
20130113,1800,50,45
20130113,2045,1837,47
20130113,1800,48,1843
20130113,1800,44,200
20130113,1800,110364,52
20130113,1800,54,1838
20130119,2045,47,189
20130119,1800,39,1842
20130120,1800,110556,110364
20130120,2045,52,44
20130120,1800,1843,46
20130120,1800,110374,48
20130120,1800,192,50
20130120,1530,1838,1837
20130120,1800,200,54
20130120,1800,45,55
20130126,1800,46,192
20130126,2045,110364,110374
20130127,1800,45,110556
20130127,1530,39,47
20130127,1800,50,48
20130127,1800,1842,1843
20130127,1800,1837,200
20130127,1800,189,52
20130127,1800,55,1838
20130127,2045,44,54
20130202,1800,1843,39
20130202,2045,200,189
20130203,1800,52,1842
20130203,1530,48,110364
20130203,1800,1838,44
20130203,2045,192,45
20130203,1800,110556,46
20130203,1800,110374,50
20130203,1800,54,1837
20130203,1800,47,55
20130209,1800,39,110364
20130209,2045,44,192
20130210,2045,45,110374
20130210,1530,50,110556
20130210,1800,1842,47
20130210,1800,46,48
20130210,1800,1843,200
20130210,1800,1837,52
20130210,1800,189,1838
20130210,1800,55,54
20130216,1800,54,39
20130216,2045,110364,189
20130217,1800,200,1842
20130217,1800,110374,44
20130217,2045,52,45
20130217,1800,1838,46
20130217,1800,192,1843
20130217,1800,47,50
20130217,1800,48,1837
20130217,1530,110556,55
20130223,1800,50,110364
20130223,2045,1837,192
20130224,1800,189,110374
20130224,1530,1843,110556
20130224,2045,44,47
20130224,1800,55,48
20130224,1800,46,200
20130224,1800,39,52
20130224,1800,45,1838
20130224,1800,1842,54
20130302,1800,1838,39
20130302,2045,189,1842
20130303,1800,110374,192
20130303,1800,52,110556
20130303,1800,110364,44
20130303,2045,48,45
20130303,1800,47,46
20130303,1800,54,1843
20130303,1530,1837,50
20130303,1800,200,55
20130309,1800,44,189
20130309,2045,39,200
20130310,1800,45,110364
20130310,1530,46,110374
20130310,1800,110556,47
20130310,1800,192,48
20130310,2045,55,52
20130310,1800,1842,1837
20130310,1800,1843,1838
20130310,1800,50,54
20130316,2045,48,39
20130316,1800,1838,1842
20130317,1800,200,192
20130317,1530,110374,110556
20130317,1800,1837,44
20130317,1800,189,45
20130317,1800,54,46
20130317,2045,47,1843
20130317,1800,52,50
20130317,1800,110364,55
20130330,1800,55,189
20130330,2045,46,110364
20130331,1800,1842,110374
20130331,2045,44,45
20130331,1800,192,47
20130331,1800,54,48
20130331,1530,50,200
20130331,1800,1843,52
20130331,1800,39,1837
20130331,1800,110556,1838
20130406,1800,110364,1842
20130406,2045,45,200
20130407,1800,44,39
20130407,1530,55,192
20130407,1800,48,110556
20130407,2045,52,46
20130407,1800,110374,47
20130407,1800,1837,1843
20130407,1800,1838,50
20130407,1800,189,54
20130413,1800,1843,189
20130413,2045,192,110364
20130414,1530,39,110374
20130414,1800,1842,44
20130414,2045,46,45
20130414,1800,47,48
20130414,1800,54,52
20130414,1800,110556,1837
20130414,1800,200,1838
20130414,1800,50,55
20130420,1800,110556,39
20130420,2045,48,1842
20130421,1530,1838,192
20130421,1800,55,46
20130421,2045,45,47
20130421,1800,110364,1843
20130421,1800,44,50
20130421,1800,52,200
20130421,1800,189,1837
20130421,1800,110374,54
20130427,1800,39,189
20130427,2045,47,110364
20130428,1800,1837,110374
20130428,1530,192,110556
20130428,1800,1843,44
20130428,2045,54,45
20130428,1800,50,46
20130428,1800,200,48
20130428,1800,52,1838
20130428,1800,1842,55
20130504,1800,50,39
20130504,2045,46,189
20130505,1800,192,1842
20130505,2045,48,44
20130505,1800,45,1843
20130505,1800,110556,200
20130505,1800,110374,52
20130505,1800,55,1837
20130505,1530,110364,1838
20130505,1800,47,54
20130508,1800,1837,110364
20130508,2045,52,192
20130508,1800,1838,110374
20130508,1530,54,110556
20130508,1800,39,45
20130508,2045,44,46
20130508,1800,200,47
20130508,1800,189,48
20130508,1800,1842,50
20130508,1800,1843,55
20130511,1800,55,39
20130511,2045,50,189
20130512,1800,45,1842
20130512,1800,110556,44
20130512,1800,110374,1843
20130512,1800,110364,200
20130512,2045,47,52
20130512,1800,46,1837
20130512,1800,48,1838
20130512,1530,192,54
20130519,1800,54,110364
20130519,1800,39,192
20130519,1800,200,110374
20130519,1800,189,110556
20130519,2045,1837,45
20130519,1800,1842,46
20130519,2045,1838,47
20130519,2045,52,48
20130519,1800,1843,50
20130519,2045,44,55
