Date,Local Time,Home ID,Away ID
20120818,1500,1,106
20120818,1500,144,1792
20120818,1500,15,1960
20120818,1500,1793,1806
20120818,1500,109,9
20120818,1500,19,2
20120818,1730,13,18
20120819,1330,1917,5
20120819,1600,10,17
20120820,2000,7,11
20120825,1245,1960,19
20120825,1500,2,7
20120825,1500,11,144
20120825,1500,1792,15
20120825,1500,17,1917
20120825,1500,106,1793
20120825,1500,18,109
20120825,1730,5,13
20120826,1330,1806,1
20120826,1600,9,10
20120901,1245,19,144
20120901,1500,5,1793
20120901,1500,13,2
20120901,1500,1960,106
20120901,1500,18,1792
20120901,1500,109,7
20120901,1500,1917,1806
20120901,1730,10,15
20120902,1330,9,1
20120902,1600,17,11
20120915,1245,1792,19
20120915,1500,1,17
20120915,1500,2,1960
20120915,1500,144,109
20120915,1500,11,1917
20120915,1500,15,5
20120915,1500,1806,10
20120915,1730,106,9
20120916,1600,1793,18
20120917,2000,7,13
20120922,1245,1960,7
20120922,1500,5,1806
20120922,1500,13,1792
20120922,1500,17,2
20120922,1500,18,15
20120922,1500,109,1793
20120922,1500,19,106
20120922,1500,1917,144
20120923,1330,9,11
20120923,1600,10,1
20120929,1245,1,5
20120929,1500,7,17
20120929,1500,144,10
20120929,1500,1792,9
20120929,1500,1793,13
20120929,1500,1806,1960
20120929,1500,106,1917
20120929,1730,11,18
20120930,1600,2,109
20121001,2000,15,19
20121006,1245,10,106
20121006,1500,5,1792
20121006,1500,9,1806
20121006,1500,1960,1793
20121006,1500,18,2
20121006,1500,109,15
20121006,1500,1917,7
20121006,1730,19,1
20121007,1330,17,144
20121007,1600,13,11
20121020,1245,18,5
20121020,1500,144,2
20121020,1500,9,1793
20121020,1500,11,1806
20121020,1500,1960,1917
20121020,1500,109,10
20121020,1500,19,17
20121020,1730,1792,1
20121021,1330,106,13
20121021,1600,15,7
20121027,1245,7,9
20121027,1500,1,15
20121027,1500,13,109
20121027,1500,1793,144
20121027,1500,17,18
20121027,1500,1806,106
20121027,1500,1917,19
20121027,1730,10,1960
20121028,1330,2,1792
20121028,1600,5,11
20121103,1245,11,1
20121103,1500,144,7
20121103,1500,1792,1806
20121103,1500,106,2
20121103,1500,1960,5
20121103,1500,18,1917
20121103,1730,19,10
20121104,1330,15,1793
